Index,Video_ID,Stress_Score
0,1_1001_DFA_ANG_XX_stress_0.90,0.90
1,2_1001_DFA_DIS_XX_stress_0.70,0.70
2,3_1001_DFA_FEA_XX_stress_0.90,0.90
3,4_1001_DFA_HAP_XX_stress_0.10,0.10
4,5_1001_DFA_NEU_XX_stress_0.20,0.20
5,6_1001_DFA_SAD_XX_stress_0.75,0.75
6,7_1001_IEO_ANG_HI_stress_1.00,1.00
7,8_1001_IEO_ANG_LO_stress_0.80,0.80
8,9_1001_IEO_ANG_MD_stress_0.90,0.90
9,10_1001_IEO_DIS_HI_stress_0.80,0.80
10,11_1001_IEO_DIS_LO_stress_0.60,0.60
11,12_1001_IEO_DIS_MD_stress_0.70,0.70
12,13_1001_IEO_FEA_HI_stress_1.00,1.00
13,14_1001_IEO_FEA_LO_stress_0.80,0.80
14,15_1001_IEO_FEA_MD_stress_0.90,0.90
15,16_1001_IEO_HAP_HI_stress_0.00,0.00
16,17_1001_IEO_HAP_LO_stress_0.20,0.20
17,18_1001_IEO_HAP_MD_stress_0.10,0.10
18,19_1001_IEO_NEU_XX_stress_0.20,0.20
19,20_1001_IEO_SAD_HI_stress_0.90,0.90
20,21_1001_IEO_SAD_LO_stress_0.60,0.60
21,22_1001_IEO_SAD_MD_stress_0.75,0.75
22,23_1001_IOM_ANG_XX_stress_0.90,0.90
23,24_1001_IOM_DIS_XX_stress_0.70,0.70
24,25_1001_IOM_FEA_XX_stress_0.90,0.90
25,26_1001_IOM_HAP_XX_stress_0.10,0.10
26,27_1001_IOM_NEU_XX_stress_0.20,0.20
27,28_1001_IOM_SAD_XX_stress_0.75,0.75
28,29_1001_ITH_ANG_XX_stress_0.90,0.90
29,30_1001_ITH_DIS_XX_stress_0.70,0.70
30,31_1001_ITH_FEA_XX_stress_0.90,0.90
31,32_1001_ITH_HAP_XX_stress_0.10,0.10
32,33_1001_ITH_NEU_XX_stress_0.20,0.20
33,34_1001_ITH_SAD_XX_stress_0.75,0.75
34,35_1001_ITS_ANG_XX_stress_0.90,0.90
35,36_1001_ITS_DIS_XX_stress_0.70,0.70
36,37_1001_ITS_FEA_XX_stress_0.90,0.90
37,38_1001_ITS_HAP_XX_stress_0.10,0.10
38,39_1001_ITS_NEU_XX_stress_0.20,0.20
39,40_1001_ITS_SAD_XX_stress_0.75,0.75
40,41_1001_IWL_ANG_XX_stress_0.90,0.90
41,42_1001_IWL_DIS_XX_stress_0.70,0.70
42,43_1001_IWL_FEA_XX_stress_0.90,0.90
